  55  39
  0.0000  0.0257  0.0514  0.0771  0.1029  0.1286  0.1543  0.1800
  0.2057  0.2314  0.2571  0.2828  0.3086  0.3343  0.3600  0.3857
  0.4114  0.4371  0.4628  0.4885  0.5143  0.5400  0.5657  0.5914
  0.6171  0.6428  0.6685  0.6943  0.7200  0.7457  0.7714  0.7971
  0.8228  0.8485  0.8742  0.9000  0.9257  0.9514  0.9771  1.0028
  1.0285  1.0542  1.0799  1.1057  1.1314  1.1571  1.1828  1.2085
  1.2342  1.2599  1.2856  1.3114  1.3371  1.3628  1.3885  1.4142
  0.0000  0.0256  0.0513  0.0769  0.1026  0.1282  0.1538  0.1795
  0.2051  0.2308  0.2564  0.2821  0.3077  0.3333  0.3590  0.3846
  0.4103  0.4359  0.4615  0.4872  0.5128  0.5385  0.5641  0.5897
  0.6154  0.6410  0.6667  0.6923  0.7179  0.7436  0.7692  0.7949
  0.8205  0.8462  0.8718  0.8974  0.9231  0.9487  0.9744  1.0000
  0.2868E-02  0.5690E-02  0.1478E-01  0.2984E-01  0.4668E-01  0.5879E-01
  0.6216E-01  0.5776E-01  0.4964E-01  0.4149E-01  0.3507E-01  0.3053E-01
  0.2750E-01  0.2579E-01  0.2544E-01  0.2648E-01  0.2884E-01  0.3259E-01
  0.3803E-01  0.4541E-01  0.5389E-01  0.6071E-01  0.6162E-01  0.5369E-01
  0.3844E-01  0.2173E-01  0.9402E-02  0.3558E-02  0.3558E-02  0.9402E-02
  0.2173E-01  0.3844E-01  0.5369E-01  0.6162E-01  0.6071E-01  0.5389E-01
  0.4541E-01  0.3803E-01  0.3259E-01  0.2884E-01  0.2648E-01  0.2544E-01
  0.2579E-01  0.2750E-01  0.3053E-01  0.3507E-01  0.4149E-01  0.4964E-01
  0.5776E-01  0.6216E-01  0.5879E-01  0.4668E-01  0.2984E-01  0.1478E-01
  0.5690E-02  0.2868E-02  0.5658E-02  0.9247E-02  0.2024E-01  0.3735E-01
  0.5555E-01  0.6805E-01  0.7121E-01  0.6650E-01  0.5823E-01  0.5009E-01
  0.4370E-01  0.3909E-01  0.3590E-01  0.3402E-01  0.3363E-01  0.3479E-01
  0.3734E-01  0.4120E-01  0.4665E-01  0.5399E-01  0.6254E-01  0.6959E-01
  0.7082E-01  0.6286E-01  0.4676E-01  0.2826E-01  0.1382E-01  0.6546E-02
  0.6546E-02  0.1382E-01  0.2826E-01  0.4676E-01  0.6286E-01  0.7082E-01
  0.6959E-01  0.6254E-01  0.5399E-01  0.4665E-01  0.4120E-01  0.3734E-01
  0.3479E-01  0.3363E-01  0.3402E-01  0.3590E-01  0.3909E-01  0.4370E-01
  0.5009E-01  0.5823E-01  0.6650E-01  0.7121E-01  0.6805E-01  0.5555E-01
  0.3735E-01  0.2024E-01  0.9247E-02  0.5658E-02  0.1449E-01  0.1885E-01
  0.3135E-01  0.4922E-01  0.6668E-01  0.7761E-01  0.7955E-01  0.7463E-01
  0.6696E-01  0.5968E-01  0.5390E-01  0.4944E-01  0.4600E-01  0.4380E-01
  0.4332E-01  0.4471E-01  0.4759E-01  0.5153E-01  0.5660E-01  0.6316E-01
  0.7090E-01  0.7769E-01  0.7966E-01  0.7323E-01  0.5843E-01  0.3992E-01
  0.2418E-01  0.1558E-01  0.1558E-01  0.2418E-01  0.3992E-01  0.5843E-01
  0.7323E-01  0.7966E-01  0.7769E-01  0.7090E-01  0.6316E-01  0.5660E-01
  0.5153E-01  0.4759E-01  0.4471E-01  0.4332E-01  0.4380E-01  0.4600E-01
  0.4944E-01  0.5390E-01  0.5968E-01  0.6696E-01  0.7463E-01  0.7955E-01
  0.7761E-01  0.6668E-01  0.4922E-01  0.3135E-01  0.1885E-01  0.1449E-01
  0.2875E-01  0.3330E-01  0.4568E-01  0.6201E-01  0.7659E-01  0.8474E-01
  0.8547E-01  0.8121E-01  0.7529E-01  0.6973E-01  0.6485E-01  0.6027E-01
  0.5602E-01  0.5301E-01  0.5234E-01  0.5429E-01  0.5806E-01  0.6254E-01
  0.6723E-01  0.7241E-01  0.7829E-01  0.8375E-01  0.8594E-01  0.8163E-01
  0.6988E-01  0.5369E-01  0.3869E-01  0.2991E-01  0.2991E-01  0.3869E-01
  0.5369E-01  0.6988E-01  0.8163E-01  0.8594E-01  0.8375E-01  0.7829E-01
  0.7241E-01  0.6723E-01  0.6254E-01  0.5806E-01  0.5429E-01  0.5234E-01
  0.5301E-01  0.5602E-01  0.6027E-01  0.6485E-01  0.6973E-01  0.7529E-01
  0.8121E-01  0.8547E-01  0.8474E-01  0.7659E-01  0.6201E-01  0.4568E-01
